id,employee_id,violation_type_id,violation_number,violation_date,violation_source,is_signed,image_path,notes,created_by,created_at,updated_at
1,1,3,1,2025-04-21,مدير النادي,False,,,1,2025-04-21 15:02:26.766933,2025-04-21 15:02:26.766933
2,2,7,1,2025-04-17,مدير النادي,False,,,1,2025-04-21 15:46:28.746759,2025-04-21 15:46:28.746759
3,4,1,1,2025-04-21,مدبر المنطقه,False,,,1,2025-04-21 16:04:59.548526,2025-04-21 16:04:59.548526
4,1,2,2,2025-04-21,مدير الانديه,False,,,1,2025-04-21 16:25:54.883734,2025-04-21 16:25:54.883734
5,6,3,1,2025-04-21,مدبر المنطقه,True,,,1,2025-04-21 16:28:19.554556,2025-04-21 16:28:19.554556
6,16,17,1,2025-04-21,مدير النادي,False,,,1,2025-04-21 17:00:30.840726,2025-04-21 17:00:30.840726
7,143,1,1,2025-04-21,مدبر المنطقه,True,,,1,2025-04-21 17:05:51.732548,2025-04-21 17:05:51.732548
8,6,3,2,2025-04-21,مدبر المنطقه,True,,,1,2025-04-21 18:02:47.868172,2025-04-21 18:04:16.944019
9,221,2,1,2025-04-24,مدير النادي,False,,,1,2025-04-24 21:46:56.353618,2025-04-24 21:46:56.353618
10,54,3,1,2025-04-24,مدير النادي,True,,,1,2025-04-24 21:52:44.808439,2025-04-24 21:52:44.808439
11,1,5,3,2025-04-24,مراقبه الكاميرات,True,,,1,2025-04-24 22:36:15.879027,2025-04-24 22:36:15.879027
12,292,3,1,2025-04-04,مدير النادي,True,,,1,2025-04-25 10:31:28.180279,2025-04-25 10:56:06.007504
14,79,2,1,2025-04-01,مدير النادي,True,,,1,2025-04-25 10:40:56.380725,2025-04-25 10:40:56.380725
15,292,4,1,2025-03-12,مدير النادي,True,,,1,2025-04-25 10:59:59.168612,2025-04-25 10:59:59.168612
16,6,1,3,2025-04-17,مدير النادي,True,,,1,2025-04-25 11:09:18.781886,2025-04-25 11:09:18.781886
17,33,6,1,2025-04-10,مدبر المنطقه,True,,,1,2025-04-25 16:56:26.519298,2025-04-25 16:56:26.519298
